tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2008-404,Indian Wells Masters,Hard,96,M,20080313,76,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.8,104259,27.0,,Philipp Kohlschreiber,R,178.0,GER,24.3,6-3 6-2,3,R32,69.0,3.0,3.0,49.0,33.0,25.0,11.0,9.0,0.0,0.0,2.0,2.0,46.0,22.0,12.0,14.0,8.0,4.0,7.0,3.0,5130.0,27.0,1155.0
2008-404,Indian Wells Masters,Hard,96,M,20080313,86,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.8,103084,16.0,,Guillermo Canas,R,185.0,ARG,30.2,6-2 6-3,3,R16,85.0,3.0,1.0,55.0,35.0,26.0,13.0,9.0,5.0,5.0,3.0,1.0,56.0,30.0,24.0,6.0,8.0,5.0,8.0,3.0,5130.0,16.0,1468.0
2008-404,Indian Wells Masters,Hard,96,M,20080313,91,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.8,104527,,,Stan Wawrinka,R,183.0,SUI,22.9,7-6(5) 6-2,3,QF,126.0,7.0,1.0,66.0,43.0,32.0,10.0,10.0,3.0,6.0,1.0,1.0,87.0,53.0,27.0,18.0,10.0,10.0,15.0,3.0,5130.0,35.0,955.0
2008-404,Indian Wells Masters,Hard,96,M,20080313,95,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.8,103888,,,Mardy Fish,R,188.0,USA,26.2,6-2 5-7 6-3,3,F,125.0,10.0,1.0,84.0,53.0,35.0,19.0,15.0,3.0,6.0,6.0,4.0,87.0,35.0,26.0,25.0,14.0,1.0,6.0,3.0,5130.0,98.0,445.0
2008-410,Monte Carlo Masters,Clay,56,M,20080420,29,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.9,103344,,,Ivan Ljubicic,R,193.0,CRO,29.0,6-3 6-3,3,R32,82.0,3.0,0.0,63.0,40.0,26.0,14.0,9.0,7.0,8.0,2.0,4.0,52.0,29.0,19.0,8.0,9.0,1.0,5.0,3.0,4725.0,29.0,1070.0
2008-410,Monte Carlo Masters,Clay,56,M,20080420,43,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.9,104918,14.0,,Andy Murray,R,190.0,GBR,20.9,6-0 6-4,3,R16,78.0,0.0,0.0,45.0,20.0,14.0,17.0,8.0,4.0,5.0,3.0,5.0,60.0,25.0,14.0,14.0,8.0,5.0,10.0,3.0,4725.0,20.0,1330.0
2008-410,Monte Carlo Masters,Clay,56,M,20080420,50,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.9,105023,,,Sam Querrey,R,198.0,USA,20.5,6-4 6-0,3,QF,60.0,5.0,1.0,41.0,33.0,29.0,4.0,8.0,0.0,0.0,1.0,2.0,57.0,31.0,16.0,12.0,8.0,6.0,10.0,3.0,4725.0,50.0,710.0
2008-414,Hamburg Masters,Clay,56,M,20080511,46,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.9,103333,,,Ivo Karlovic,R,208.0,CRO,29.2,7-6(3) 6-3,3,R16,98.0,4.0,2.0,78.0,54.0,39.0,14.0,11.0,3.0,4.0,12.0,0.0,64.0,41.0,30.0,10.0,10.0,1.0,3.0,3.0,5125.0,24.0,1265.0
2008-414,Hamburg Masters,Clay,56,M,20080511,51,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.9,103656,,,Albert Montanes,R,175.0,ESP,27.4,6-2 6-3,3,QF,77.0,4.0,0.0,62.0,48.0,33.0,8.0,9.0,3.0,4.0,0.0,2.0,56.0,37.0,20.0,8.0,8.0,3.0,7.0,3.0,5125.0,78.0,511.0
2008-416,Rome Masters,Clay,56,M,20080505,43,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.9,104214,,,Igor Andreev,R,185.0,RUS,24.8,6-3 3-6 6-3,3,R16,162.0,1.0,3.0,111.0,75.0,47.0,21.0,14.0,9.0,11.0,3.0,8.0,93.0,63.0,41.0,16.0,13.0,2.0,5.0,3.0,4750.0,26.0,1155.0
2008-416,Rome Masters,Clay,56,M,20080505,53,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.9,103285,,,Radek Stepanek,R,185.0,CZE,29.4,6-0 1-0 RET,3,SF,34.0,2.0,0.0,19.0,13.0,11.0,5.0,4.0,0.0,0.0,0.0,2.0,16.0,10.0,3.0,1.0,3.0,0.0,3.0,3.0,4750.0,27.0,1060.0
2008-416,Rome Masters,Clay,56,M,20080505,55,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.9,104527,,,Stan Wawrinka,R,183.0,SUI,23.1,4-6 6-3 6-3,3,F,124.0,0.0,1.0,71.0,48.0,40.0,15.0,14.0,2.0,3.0,2.0,3.0,87.0,55.0,36.0,19.0,14.0,3.0,6.0,3.0,4750.0,24.0,1200.0
2008-421,Canada Masters,Hard,56,M,20080721,36,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.1,104433,,WC,Frank Dancevic,R,185.0,CAN,23.8,6-4 6-4,3,R32,77.0,3.0,1.0,58.0,36.0,29.0,13.0,10.0,2.0,3.0,3.0,0.0,56.0,41.0,26.0,8.0,10.0,2.0,5.0,3.0,4945.0,82.0,519.0
2008-421,Canada Masters,Hard,56,M,20080721,46,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.1,104417,,,Robin Soderling,R,193.0,SWE,23.9,6-4 6-4,3,R16,80.0,6.0,1.0,60.0,37.0,30.0,15.0,10.0,4.0,4.0,9.0,4.0,56.0,41.0,30.0,7.0,10.0,3.0,5.0,3.0,4945.0,49.0,815.0
2008-422,Cincinnati Masters,Hard,56,M,20080728,36,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.1,104620,,,Simone Bolelli,R,183.0,ITA,22.8,7-6(2) 7-6(2),3,R32,114.0,9.0,5.0,97.0,54.0,45.0,21.0,12.0,10.0,12.0,2.0,0.0,72.0,49.0,37.0,11.0,12.0,0.0,2.0,3.0,5055.0,50.0,815.0
2008-422,Cincinnati Masters,Hard,56,M,20080728,46,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.1,104312,,,Andreas Seppi,R,190.0,ITA,24.4,6-1 6-2,3,R16,59.0,8.0,1.0,41.0,23.0,19.0,11.0,8.0,0.0,1.0,0.0,5.0,49.0,27.0,17.0,4.0,7.0,5.0,10.0,3.0,5055.0,39.0,895.0
2008-422,Cincinnati Masters,Hard,56,M,20080728,51,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.1,105208,,,Ernests Gulbis,R,190.0,LAT,19.9,6-3 6-4,3,QF,94.0,6.0,1.0,64.0,43.0,33.0,12.0,10.0,3.0,3.0,3.0,4.0,68.0,42.0,27.0,14.0,9.0,3.0,5.0,3.0,5055.0,53.0,782.0
2008-495,Dubai,Hard,32,A,20080303,12,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.7,105227,,,Marin Cilic,R,198.0,CRO,19.4,6-4 6-3,3,R32,78.0,5.0,2.0,51.0,34.0,27.0,11.0,9.0,0.0,0.0,2.0,4.0,64.0,28.0,19.0,17.0,10.0,2.0,5.0,3.0,5010.0,45.0,752.0
2008-495,Dubai,Hard,32,A,20080303,22,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.7,102148,,,Fabrice Santoro,R,178.0,FRA,35.2,6-3 7-6(3),3,R16,96.0,9.0,1.0,62.0,41.0,34.0,16.0,11.0,3.0,4.0,2.0,1.0,73.0,37.0,26.0,20.0,10.0,4.0,6.0,3.0,5010.0,47.0,705.0
2008-495,Dubai,Hard,32,A,20080303,27,104925,3.0,,Novak Djokovic,R,188.0,SRB,20.7,104214,,,Igor Andreev,R,185.0,RUS,24.6,6-2 6-1,3,QF,56.0,1.0,1.0,38.0,24.0,19.0,10.0,7.0,2.0,2.0,1.0,1.0,44.0,34.0,16.0,3.0,8.0,1.0,6.0,3.0,5010.0,34.0,945.0
2008-496,Marseille,Hard,32,A,20080211,1,104925,1.0,,Novak Djokovic,R,188.0,SRB,20.7,104471,,Q,Ivan Dodig,R,183.0,CRO,23.1,6-1 6-4,3,R32,70.0,7.0,2.0,49.0,25.0,20.0,17.0,9.0,0.0,0.0,1.0,0.0,53.0,30.0,21.0,8.0,8.0,2.0,5.0,3.0,5165.0,296.0,125.0
2008-520,Roland Garros,Clay,128,G,20080525,48,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.0,103823,,,Denis Gremelmayr,L,183.0,GER,26.7,4-6 6-3 7-5 6-2,5,R128,149.0,5.0,3.0,112.0,75.0,50.0,22.0,20.0,3.0,7.0,3.0,5.0,100.0,46.0,30.0,29.0,19.0,5.0,12.0,3.0,5225.0,64.0,578.0
2008-520,Roland Garros,Clay,128,G,20080525,88,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.0,104091,,Q,Miguel Angel Lopez Jaen,R,188.0,ESP,25.4,6-1 6-1 6-3,5,R64,80.0,3.0,2.0,68.0,45.0,36.0,15.0,12.0,0.0,0.0,6.0,2.0,69.0,46.0,26.0,6.0,11.0,4.0,10.0,3.0,5225.0,264.0,140.0
2008-520,Roland Garros,Clay,128,G,20080525,108,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.0,104639,,WC,Wayne Odesnik,L,180.0,USA,22.5,7-5 6-4 6-2,5,R32,137.0,10.0,0.0,85.0,59.0,42.0,15.0,15.0,3.0,6.0,10.0,3.0,119.0,62.0,37.0,24.0,15.0,5.0,12.0,3.0,5225.0,106.0,433.0
2008-520,Roland Garros,Clay,128,G,20080525,118,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.0,103908,18.0,,Paul Henri Mathieu,R,185.0,FRA,26.3,6-4 6-3 6-4,5,R16,140.0,14.0,1.0,77.0,54.0,45.0,11.0,14.0,7.0,8.0,8.0,4.0,111.0,63.0,45.0,18.0,15.0,7.0,12.0,3.0,5225.0,19.0,1270.0
2008-520,Roland Garros,Clay,128,G,20080525,123,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.0,105208,,,Ernests Gulbis,R,190.0,LAT,19.7,7-5 7-6(3) 7-5,5,QF,187.0,6.0,1.0,125.0,82.0,58.0,24.0,18.0,4.0,6.0,12.0,7.0,138.0,85.0,58.0,24.0,18.0,12.0,16.0,3.0,5225.0,80.0,512.0
2008-560,US Open,Hard,128,G,20080825,48,104925,3.0,,Novak Djokovic,R,188.0,SRB,21.2,103096,,,Arnaud Clement,R,173.0,FRA,30.6,6-3 6-3 6-4,5,R128,120.0,15.0,2.0,85.0,55.0,44.0,19.0,14.0,4.0,4.0,6.0,3.0,84.0,48.0,31.0,20.0,14.0,3.0,7.0,3.0,5105.0,78.0,555.0
