tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2011-5014,Shanghai Masters,Hard,56,M,20111009,41,104252,15.0,,Florian Mayer,R,190.0,GER,28.0,104745,1.0,,Rafael Nadal,L,185.0,ESP,25.3,7-6(5) 6-3,3,R16,108.0,5.0,1.0,64.0,37.0,33.0,15.0,10.0,0.0,0.0,2.0,0.0,72.0,53.0,37.0,11.0,11.0,2.0,4.0,23.0,1645.0,2.0,10375.0
2011-605,Tour Finals,Hard,16,F,20111120,2,103819,,,Roger Federer,R,185.0,SUI,30.2,104745,,,Rafael Nadal,L,185.0,ESP,25.4,6-3 6-0,3,RR,61.0,6.0,1.0,40.0,27.0,23.0,9.0,8.0,0.0,0.0,1.0,0.0,41.0,30.0,14.0,5.0,7.0,2.0,6.0,4.0,6670.0,2.0,9375.0
2011-605,Tour Finals,Hard,16,F,20111120,3,104542,,,Jo-Wilfried Tsonga,R,188.0,FRA,26.5,104745,,,Rafael Nadal,L,185.0,ESP,25.4,7-6(2) 4-6 6-3,3,RR,162.0,11.0,6.0,93.0,51.0,43.0,20.0,15.0,5.0,7.0,2.0,1.0,97.0,63.0,44.0,16.0,16.0,3.0,6.0,6.0,3535.0,2.0,9375.0
2012-451,Doha,Hard,32,A,20120102,29,104792,4.0,,Gael Monfils,R,193.0,FRA,25.3,104745,1.0,,Rafael Nadal,L,185.0,ESP,25.5,6-3 6-4,3,SF,96.0,4.0,1.0,68.0,52.0,36.0,8.0,10.0,2.0,3.0,1.0,1.0,50.0,36.0,23.0,6.0,9.0,0.0,3.0,16.0,1910.0,2.0,9595.0
2012-404,Indian Wells Masters,Hard,96,M,20120308,94,103819,3.0,,Roger Federer,R,185.0,SUI,30.5,104745,2.0,,Rafael Nadal,L,185.0,ESP,25.7,6-3 6-4,3,SF,92.0,6.0,2.0,56.0,36.0,23.0,13.0,10.0,2.0,4.0,0.0,2.0,56.0,40.0,23.0,7.0,9.0,2.0,6.0,3.0,8710.0,2.0,10415.0
2012-403,Miami Masters,Hard,96,M,20120321,94,104918,4.0,,Andy Murray,R,190.0,GBR,24.8,104745,2.0,,Rafael Nadal,L,185.0,ESP,25.7, W/O,3,SF,,,,,,,,,,,,,,,,,,,,4.0,7450.0,2.0,10175.0
2012-1536,Madrid Masters,Clay,56,M,20120506,48,104269,15.0,,Fernando Verdasco,L,188.0,ESP,28.4,104745,2.0,,Rafael Nadal,L,185.0,ESP,25.9,6-3 3-6 7-5,3,R16,190.0,5.0,9.0,101.0,63.0,39.0,15.0,15.0,9.0,15.0,7.0,2.0,83.0,55.0,31.0,12.0,15.0,3.0,10.0,19.0,1675.0,2.0,9615.0
2012-540,Wimbledon,Grass,128,G,20120625,96,104586,,,Lukas Rosol,R,196.0,CZE,26.9,104745,2.0,,Rafael Nadal,L,185.0,ESP,26.0,6-7(9) 6-4 6-4 2-6 6-4,5,R64,198.0,22.0,3.0,137.0,92.0,76.0,26.0,25.0,1.0,4.0,19.0,2.0,139.0,93.0,73.0,29.0,25.0,4.0,8.0,100.0,553.0,2.0,10060.0
2013-505,Santiago,Clay,28,A,20130204,27,104547,,,Horacio Zeballos,L,188.0,ARG,27.7,104745,1.0,,Rafael Nadal,L,185.0,ESP,26.6,6-7(2) 7-6(6) 6-4,3,F,167.0,12.0,0.0,96.0,58.0,45.0,27.0,17.0,2.0,3.0,4.0,1.0,106.0,77.0,57.0,18.0,17.0,5.0,7.0,73.0,708.0,5.0,5400.0
2013-540,Wimbledon,Grass,128,G,20130624,33,104327,,,Steve Darcis,R,178.0,BEL,29.2,104745,5.0,,Rafael Nadal,L,185.0,ESP,27.0,7-6(4) 7-6(8) 6-4,5,R128,175.0,13.0,2.0,121.0,72.0,53.0,28.0,17.0,5.0,7.0,6.0,3.0,119.0,80.0,52.0,21.0,17.0,8.0,11.0,135.0,418.0,5.0,6895.0
