tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2009-D008,Davis Cup WG R1: ESP vs SRB,Clay,4,D,20090306,1,103970,,,David Ferrer,R,175.0,ESP,26.9,104925,,,Novak Djokovic,R,188.0,SRB,21.7,6-3 6-3 7-6(4),5,RR,,,,,,,,,,,,,,,,,,,,12.0,3025.0,3.0,9420.0
2010-580,Australian Open,Hard,128,G,20100118,122,104542,10.0,,Jo-Wilfried Tsonga,R,188.0,FRA,24.7,104925,3.0,,Novak Djokovic,R,188.0,SRB,22.6,7-6(8) 6-7(5) 1-6 6-3 6-1,5,QF,232.0,19.0,2.0,168.0,109.0,74.0,28.0,23.0,10.0,16.0,2.0,9.0,145.0,100.0,67.0,22.0,24.0,4.0,11.0,10.0,2875.0,3.0,8310.0
2010-407,Rotterdam,Hard,32,A,20100208,29,104022,6.0,,Mikhail Youzhny,R,183.0,RUS,27.6,104925,1.0,,Novak Djokovic,R,188.0,SRB,22.7,7-6(5) 7-6(6),3,SF,137.0,4.0,3.0,89.0,54.0,40.0,19.0,12.0,3.0,5.0,4.0,2.0,77.0,44.0,35.0,17.0,12.0,1.0,3.0,20.0,1770.0,2.0,8310.0
2010-410,Monte Carlo Masters,Clay,56,M,20100411,53,104269,6.0,,Fernando Verdasco,L,188.0,ESP,26.4,104925,1.0,,Novak Djokovic,R,188.0,SRB,22.8,6-2 6-2,3,SF,92.0,4.0,1.0,45.0,35.0,25.0,5.0,8.0,2.0,3.0,0.0,5.0,66.0,40.0,21.0,8.0,8.0,7.0,12.0,12.0,2725.0,2.0,7630.0
2010-416,Rome Masters,Clay,56,M,20100425,52,104269,6.0,,Fernando Verdasco,L,188.0,ESP,26.4,104925,2.0,,Novak Djokovic,R,188.0,SRB,22.9,7-6(4) 3-6 6-4,3,QF,198.0,3.0,3.0,99.0,78.0,49.0,11.0,16.0,6.0,11.0,6.0,7.0,121.0,79.0,56.0,14.0,15.0,10.0,14.0,9.0,3555.0,2.0,7390.0
2010-5053,Belgrade,Clay,28,A,20100503,21,105936,,WC,Filip Krajinovic,R,185.0,SRB,18.1,104925,1.0,,Novak Djokovic,R,188.0,SRB,22.9,6-4 RET,3,QF,40.0,1.0,2.0,26.0,14.0,9.0,8.0,5.0,0.0,1.0,0.0,1.0,43.0,27.0,15.0,8.0,5.0,7.0,9.0,319.0,132.0,2.0,6970.0
2010-520,Roland Garros,Clay,128,G,20100524,123,103781,22.0,,Jurgen Melzer,L,183.0,AUT,29.0,104925,3.0,,Novak Djokovic,R,188.0,SRB,23.0,3-6 2-6 6-2 7-6(3) 6-4,5,QF,255.0,9.0,5.0,145.0,73.0,52.0,41.0,23.0,4.0,8.0,4.0,10.0,197.0,127.0,85.0,32.0,24.0,20.0,24.0,27.0,1495.0,3.0,6405.0
2010-311,Queen's Club,Grass,56,A,20100607,48,103598,,,Xavier Malisse,R,185.0,BEL,29.8,104925,2.0,,Novak Djokovic,R,188.0,SRB,23.0,6-3 4-6 6-2,3,R16,102.0,5.0,3.0,72.0,47.0,40.0,11.0,13.0,4.0,5.0,4.0,5.0,92.0,68.0,44.0,10.0,14.0,5.0,9.0,74.0,649.0,3.0,6675.0
2010-540,Wimbledon,Grass,128,G,20100621,125,104607,12.0,,Tomas Berdych,R,196.0,CZE,24.7,104925,3.0,,Novak Djokovic,R,188.0,SRB,23.0,6-3 7-6(9) 6-3,5,SF,138.0,11.0,2.0,102.0,58.0,47.0,28.0,16.0,3.0,4.0,9.0,8.0,88.0,64.0,47.0,10.0,14.0,4.0,7.0,13.0,2825.0,3.0,6545.0
2010-421,Canada Masters,Hard,56,M,20100809,54,103819,3.0,,Roger Federer,R,185.0,SUI,29.0,104925,2.0,,Novak Djokovic,R,188.0,SRB,23.2,6-1 3-6 7-5,3,SF,142.0,11.0,2.0,95.0,55.0,40.0,17.0,14.0,6.0,9.0,1.0,3.0,118.0,81.0,46.0,18.0,14.0,7.0,12.0,3.0,6795.0,2.0,6905.0
2010-422,Cincinnati Masters,Hard,56,M,20100815,52,104053,9.0,,Andy Roddick,R,188.0,USA,27.9,104925,2.0,,Novak Djokovic,R,188.0,SRB,23.2,6-4 7-5,3,QF,83.0,8.0,4.0,61.0,35.0,29.0,14.0,11.0,2.0,3.0,5.0,2.0,62.0,37.0,22.0,16.0,11.0,3.0,6.0,13.0,2875.0,3.0,7085.0
2010-5014,Shanghai Masters,Hard,56,M,20101010,54,103819,3.0,,Roger Federer,R,185.0,SUI,29.1,104925,2.0,,Novak Djokovic,R,188.0,SRB,23.3,7-5 6-4,3,SF,102.0,7.0,3.0,73.0,45.0,34.0,15.0,11.0,4.0,5.0,4.0,4.0,75.0,48.0,30.0,15.0,11.0,1.0,4.0,3.0,6735.0,2.0,7145.0
