tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2020-0605,Tour Finals,Hard,8,F,20201116,289,104745,2.0,,Rafael Nadal,L,185.0,ESP,34.4,126094,7.0,,Andrey Rublev,R,188.0,RUS,23.0,6-3 6-4,3,RR,77.0,2.0,0.0,54.0,39.0,32.0,10.0,10.0,0.0,0.0,9.0,1.0,58.0,36.0,28.0,9.0,9.0,3.0,5.0,2.0,9850.0,8.0,3919.0
2021-0410,Monte Carlo Masters,Clay,64,M,20210412,288,104745,3.0,,Rafael Nadal,L,185.0,ESP,34.8,105777,14.0,,Grigor Dimitrov,R,188.0,BUL,29.9,6-1 6-1,3,R16,55.0,3.0,1.0,37.0,24.0,19.0,10.0,7.0,0.0,0.0,3.0,5.0,44.0,25.0,12.0,6.0,7.0,4.0,9.0,3.0,9670.0,17.0,2598.0
2021-0416,Rome Masters,Clay,64,M,20210510,270,104745,2.0,,Rafael Nadal,L,185.0,ESP,34.9,206173,,,Jannik Sinner,R,188.0,ITA,19.7,7-5 6-4,3,R32,130.0,0.0,1.0,61.0,30.0,21.0,17.0,11.0,1.0,4.0,1.0,2.0,78.0,42.0,25.0,16.0,11.0,10.0,15.0,3.0,9630.0,18.0,2545.0
2021-0416,Rome Masters,Clay,64,M,20210510,286,104745,2.0,,Rafael Nadal,L,185.0,ESP,34.9,133430,13.0,,Denis Shapovalov,L,185.0,CAN,22.0,3-6 6-4 7-6(3),3,R16,207.0,2.0,2.0,119.0,82.0,53.0,17.0,16.0,5.0,10.0,12.0,5.0,114.0,66.0,45.0,20.0,15.0,10.0,14.0,3.0,9630.0,14.0,2855.0
2021-0416,Rome Masters,Clay,64,M,20210510,294,104745,2.0,,Rafael Nadal,L,185.0,ESP,34.9,100644,6.0,,Alexander Zverev,R,198.0,GER,24.0,6-3 6-4,3,QF,119.0,1.0,0.0,69.0,50.0,29.0,15.0,10.0,9.0,10.0,6.0,3.0,64.0,44.0,28.0,8.0,9.0,3.0,6.0,3.0,9630.0,6.0,6945.0
2021-0416,Rome Masters,Clay,64,M,20210510,298,104745,2.0,,Rafael Nadal,L,185.0,ESP,34.9,124187,,,Reilly Opelka,R,211.0,USA,23.6,6-4 6-4,3,SF,92.0,5.0,1.0,57.0,43.0,36.0,8.0,10.0,4.0,4.0,11.0,1.0,61.0,32.0,27.0,15.0,10.0,5.0,7.0,3.0,9630.0,47.0,1382.0
2021-0418,Washington,Hard,64,A,20210802,285,104745,1.0,,Rafael Nadal,L,185.0,ESP,35.1,106058,,WC,Jack Sock,R,185.0,USA,28.8,6-2 4-6 7-6(1),3,R32,184.0,8.0,3.0,114.0,67.0,47.0,27.0,15.0,8.0,10.0,7.0,4.0,103.0,60.0,42.0,20.0,15.0,3.0,6.0,3.0,8270.0,192.0,373.0
2021-0425,Barcelona,Clay,64,A,20210419,285,104745,1.0,,Rafael Nadal,L,185.0,ESP,34.8,125802,,Q,Ilya Ivashka,R,193.0,BLR,27.1,3-6 6-2 6-4,3,R32,139.0,1.0,2.0,81.0,50.0,40.0,16.0,14.0,1.0,3.0,6.0,1.0,80.0,52.0,36.0,13.0,13.0,3.0,6.0,3.0,9490.0,111.0,713.0
2021-0425,Barcelona,Clay,64,A,20210419,293,104745,1.0,,Rafael Nadal,L,185.0,ESP,34.8,105453,,,Kei Nishikori,R,178.0,JPN,31.3,6-0 2-6 6-2,3,R16,139.0,2.0,3.0,82.0,49.0,32.0,17.0,11.0,11.0,13.0,2.0,1.0,79.0,49.0,27.0,14.0,11.0,6.0,11.0,3.0,9490.0,39.0,1543.0
2021-0425,Barcelona,Clay,64,A,20210419,297,104745,1.0,,Rafael Nadal,L,185.0,ESP,34.8,111815,,,Cameron Norrie,L,188.0,GBR,25.6,6-1 6-4,3,QF,94.0,4.0,2.0,57.0,34.0,24.0,13.0,9.0,2.0,3.0,0.0,5.0,55.0,28.0,16.0,11.0,8.0,4.0,8.0,3.0,9490.0,58.0,1130.0
2021-0425,Barcelona,Clay,64,A,20210419,299,104745,1.0,,Rafael Nadal,L,185.0,ESP,34.8,105807,6.0,,Pablo Carreno Busta,R,188.0,ESP,29.7,6-3 6-2,3,SF,89.0,3.0,3.0,56.0,35.0,27.0,11.0,9.0,3.0,4.0,4.0,1.0,53.0,44.0,24.0,3.0,8.0,6.0,10.0,3.0,9490.0,13.0,2880.0
2021-0425,Barcelona,Clay,64,A,20210419,300,104745,1.0,,Rafael Nadal,L,185.0,ESP,34.8,126774,2.0,,Stefanos Tsitsipas,R,193.0,GRE,22.6,6-4 6-7(6) 7-5,3,F,218.0,2.0,5.0,122.0,78.0,54.0,24.0,17.0,11.0,13.0,5.0,3.0,120.0,74.0,55.0,20.0,17.0,8.0,12.0,3.0,9490.0,5.0,7860.0
2021-1536,Madrid Masters,Clay,64,M,20210503,285,104745,1.0,,Rafael Nadal,L,185.0,ESP,34.9,207989,,WC,Carlos Alcaraz,R,185.0,ESP,17.9,6-1 6-2,3,R32,77.0,1.0,3.0,45.0,26.0,21.0,11.0,8.0,2.0,3.0,0.0,3.0,38.0,22.0,9.0,5.0,7.0,2.0,7.0,2.0,9810.0,120.0,654.0
2021-1536,Madrid Masters,Clay,64,M,20210503,293,104745,1.0,,Rafael Nadal,L,185.0,ESP,34.9,200615,,Q,Alexei Popyrin,R,196.0,AUS,21.7,6-3 6-3,3,R16,79.0,1.0,0.0,55.0,35.0,25.0,12.0,9.0,5.0,6.0,8.0,4.0,47.0,24.0,20.0,7.0,9.0,2.0,6.0,2.0,9810.0,76.0,949.0
