tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2009-421,Canada Masters,Hard,56,M,20090810,37,105223,6.0,,Juan Martin del Potro,R,198.0,ARG,20.8,103401,,Q,Jan Hernych,R,190.0,CZE,30.0,6-2 7-5,3,R32,88.0,10.0,2.0,58.0,35.0,28.0,13.0,10.0,2.0,3.0,4.0,1.0,73.0,43.0,28.0,10.0,10.0,5.0,9.0,6.0,5155.0,86.0,725.0
2009-421,Canada Masters,Hard,56,M,20090810,47,105223,6.0,,Juan Martin del Potro,R,198.0,ARG,20.8,103812,,,Victor Hanescu,R,198.0,ROU,28.0,3-6 6-3 6-4,3,R16,122.0,9.0,5.0,74.0,39.0,33.0,18.0,14.0,3.0,6.0,5.0,1.0,81.0,49.0,32.0,19.0,14.0,1.0,5.0,6.0,5155.0,32.0,1341.0
2009-421,Canada Masters,Hard,56,M,20090810,52,105223,6.0,,Juan Martin del Potro,R,198.0,ARG,20.8,104745,2.0,,Rafael Nadal,L,185.0,ESP,23.1,7-6(5) 6-1,3,QF,112.0,8.0,0.0,61.0,46.0,35.0,7.0,9.0,1.0,1.0,1.0,1.0,67.0,43.0,27.0,11.0,10.0,5.0,8.0,6.0,5155.0,2.0,9285.0
2009-421,Canada Masters,Hard,56,M,20090810,54,105223,6.0,,Juan Martin del Potro,R,198.0,ARG,20.8,104053,5.0,,Andy Roddick,R,188.0,USA,26.9,4-6 6-2 7-5,3,SF,127.0,19.0,2.0,87.0,60.0,47.0,15.0,15.0,5.0,6.0,11.0,2.0,85.0,60.0,46.0,9.0,15.0,4.0,7.0,6.0,5155.0,5.0,5530.0
2009-424,San Jose,Hard,32,A,20090209,24,105223,2.0,,Juan Martin del Potro,R,198.0,ARG,20.3,105453,,,Kei Nishikori,R,178.0,JPN,19.1,6-2 6-2,3,R16,75.0,8.0,1.0,52.0,29.0,21.0,13.0,8.0,5.0,6.0,1.0,2.0,51.0,22.0,14.0,7.0,8.0,4.0,9.0,7.0,4350.0,56.0,1281.0
2009-520,Roland Garros,Clay,128,G,20090525,33,105223,5.0,,Juan Martin del Potro,R,198.0,ARG,20.6,103566,,,Michael Llodra,L,190.0,FRA,29.0,6-3 6-3 6-1,5,R128,91.0,7.0,1.0,64.0,44.0,38.0,12.0,12.0,0.0,0.0,3.0,2.0,84.0,59.0,31.0,12.0,13.0,4.0,10.0,5.0,4830.0,78.0,898.0
2009-520,Roland Garros,Clay,128,G,20090525,105,105223,5.0,,Juan Martin del Potro,R,198.0,ARG,20.6,104214,25.0,,Igor Andreev,R,185.0,RUS,25.8,6-4 7-5 6-4,5,R32,142.0,6.0,5.0,98.0,55.0,45.0,21.0,16.0,2.0,4.0,1.0,0.0,91.0,63.0,39.0,17.0,16.0,3.0,8.0,5.0,4830.0,27.0,1680.0
2009-520,Roland Garros,Clay,128,G,20090525,117,105223,5.0,,Juan Martin del Potro,R,198.0,ARG,20.6,104542,9.0,,Jo-Wilfried Tsonga,R,188.0,FRA,24.1,6-1 6-7(5) 6-1 6-4,5,R16,161.0,9.0,4.0,100.0,69.0,56.0,22.0,19.0,0.0,1.0,7.0,2.0,113.0,61.0,37.0,29.0,17.0,7.0,13.0,5.0,4830.0,9.0,3330.0
2009-520,Roland Garros,Clay,128,G,20090525,123,105223,5.0,,Juan Martin del Potro,R,198.0,ARG,20.6,103990,16.0,,Tommy Robredo,R,180.0,ESP,27.0,6-3 6-4 6-2,5,QF,127.0,14.0,1.0,94.0,51.0,46.0,20.0,14.0,7.0,7.0,3.0,4.0,81.0,50.0,35.0,12.0,13.0,6.0,10.0,5.0,4830.0,17.0,2370.0
2009-540,Wimbledon,Grass,128,G,20090622,1,105223,5.0,,Juan Martin del Potro,R,198.0,ARG,20.7,103096,,,Arnaud Clement,R,173.0,FRA,31.5,6-3 6-1 6-2,5,R128,97.0,10.0,0.0,59.0,41.0,35.0,13.0,12.0,0.0,0.0,3.0,6.0,73.0,27.0,19.0,19.0,12.0,3.0,9.0,5.0,5730.0,53.0,1059.0
