tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2007-402,Memphis,Hard,32,A,20070219,22,103888,4.0,,Mardy Fish,R,188.0,USA,25.1,105223,,,Juan Martin del Potro,R,198.0,ARG,18.4,6-1 7-6(9),3,R16,77.0,22.0,1.0,61.0,32.0,31.0,19.0,10.0,0.0,0.0,9.0,2.0,66.0,36.0,25.0,18.0,9.0,3.0,5.0,25.0,1104.0,69.0,535.0
2007-403,Miami Masters,Hard,96,M,20070319,88,104745,2.0,,Rafael Nadal,L,185.0,ESP,20.7,105223,,,Juan Martin del Potro,R,198.0,ARG,18.4,6-0 6-4,3,R16,89.0,3.0,0.0,53.0,36.0,26.0,10.0,8.0,2.0,2.0,0.0,1.0,60.0,47.0,24.0,6.0,8.0,9.0,13.0,2.0,4755.0,63.0,576.0
2007-404,Indian Wells Masters,Hard,96,M,20070305,53,104755,15.0,,Richard Gasquet,R,185.0,FRA,20.7,105223,,,Juan Martin del Potro,R,198.0,ARG,18.4,7-6(2) 6-2,3,R64,95.0,7.0,1.0,64.0,43.0,31.0,14.0,10.0,4.0,5.0,4.0,1.0,74.0,49.0,26.0,14.0,10.0,4.0,7.0,16.0,1590.0,65.0,564.0
2007-418,Washington,Hard,48,A,20070729,30,104639,,Q,Wayne Odesnik,L,180.0,USA,21.6,105223,10.0,,Juan Martin del Potro,R,198.0,ARG,18.8,3-6 7-6(10) 6-3,3,R32,152.0,12.0,1.0,107.0,70.0,47.0,19.0,14.0,5.0,8.0,17.0,5.0,115.0,63.0,50.0,21.0,16.0,3.0,7.0,189.0,215.0,59.0,594.0
2007-421,Canada Masters,Hard,56,M,20070805,20,104433,,WC,Frank Dancevic,R,185.0,CAN,22.8,105223,,,Juan Martin del Potro,R,198.0,ARG,18.8,6-4 3-6 6-3,3,R64,116.0,14.0,1.0,81.0,55.0,43.0,14.0,14.0,3.0,4.0,4.0,3.0,87.0,53.0,36.0,21.0,14.0,5.0,7.0,91.0,452.0,75.0,524.0
2007-422,Cincinnati Masters,Hard,56,M,20070813,43,102845,,,Carlos Moya,R,190.0,ESP,30.9,105223,,Q,Juan Martin del Potro,R,198.0,ARG,18.8,7-5 3-6 7-5,3,R16,141.0,17.0,5.0,87.0,55.0,45.0,16.0,16.0,1.0,3.0,10.0,6.0,101.0,57.0,42.0,25.0,17.0,4.0,7.0,19.0,1325.0,78.0,519.0
2007-429,Stockholm,Hard,32,A,20071007,6,102563,,,Thomas Johansson,R,180.0,SWE,32.5,105223,,,Juan Martin del Potro,R,198.0,ARG,19.0,6-4 1-0 RET,3,R32,56.0,3.0,0.0,31.0,21.0,13.0,7.0,5.0,1.0,2.0,3.0,2.0,49.0,22.0,18.0,6.0,6.0,9.0,12.0,55.0,630.0,54.0,634.0
2007-433,Las Vegas,Hard,32,A,20070226,538,103484,,,James Blake,R,185.0,USA,27.1,105223,,,Juan Martin del Potro,R,198.0,ARG,18.4,6-1 3-1 RET,3,RR,,,,,,,,,,,,,,,,,,,,6.0,2605.0,67.0,550.0
2007-580,Australian Open,Hard,128,G,20070115,92,103602,10.0,,Fernando Gonzalez,R,183.0,CHI,26.4,105223,,,Juan Martin del Potro,R,198.0,ARG,18.3,7-6(7) 4-6 6-7(3) 6-4 4-0 RET,5,R64,206.0,18.0,4.0,147.0,89.0,71.0,27.0,24.0,3.0,7.0,11.0,6.0,161.0,96.0,64.0,35.0,24.0,4.0,10.0,9.0,2015.0,73.0,515.0
2007-741,Nottingham,Grass,32,A,20070618,27,103333,,,Ivo Karlovic,R,208.0,CRO,28.3,105223,,,Juan Martin del Potro,R,198.0,ARG,18.7,7-6(10) 7-5,3,QF,112.0,24.0,0.0,69.0,49.0,42.0,13.0,12.0,0.0,0.0,4.0,1.0,82.0,50.0,35.0,22.0,12.0,3.0,4.0,61.0,572.0,55.0,593.0
2007-D020,Davis Cup WG QF: SWE vs ARG,Carpet,4,D,20070406,2,104417,,,Robin Soderling,R,193.0,SWE,22.6,105223,,,Juan Martin del Potro,R,198.0,ARG,18.5,7-6(4) 7-6(4) 6-4,5,RR,,,,,,,,,,,,,,,,,,,,30.0,1003.0,58.0,643.0
