jugador,porc_victorias_normalizado,porc_victorias_tipo_de_suelo_normalizado,aces_normalizado,dobles_faltas_por_partido_normalizado,porc_primer_servicio_in_normalizado,porc_pts_ganados_primer_saque_normalizado,porc_pts_ganados_segundo_saque_normalizado,break_points_enfrentados_normalizado,porc_break_points_salvados_normalizado,puntaje
Novak Djokovic,17.5,15.0,4.12,10.59,5.0,11.0,8.79,2.75,10.37,85.12
Rafael Nadal,17.37,15.33,2.36,11.0,5.0,11.0,9.41,2.76,10.6,84.82
"diferencia porcentual, a favor del 1ero positiva",0.7428571428571372,-2.1526418786692765,42.71844660194175,-3.7272727272727284,0.0,0.0,-6.588735387885239,-0.36231884057970243,-2.169811320754721,
