jugador,porc_victorias,porc_victorias_clay,porc_victorias_grass,porc_victorias_hard,aces_por_partido,dobles_faltas_por_partido,porc_primer_servicio_in,porc_pts_ganados_primer_saque,porc_pts_ganados_segundo_saque,prom_break_por_partido,porc_break_salvados
Novak Djokovic,85.01,84.79,87.74,84.91,5.49,2.22,66.75,74.38,60.99,4.79,65.94
Rafael Nadal,84.67,92.25,81.01,79.48,3.14,1.68,69.5,72.6,62.11,4.78,66.5
