jugador,porc_victorias,porc_victorias_clay,porc_victorias_grass,porc_victorias_hard,aces_por_partido,dobles_faltas_por_partido,porc_primer_servicio_in,porc_pts_ganados_primer_saque,porc_pts_ganados_segundo_saque,prom_break_por_partido,porc_break_salvados
Juan Martin del Potro,73.32,72.63,70.83,73.85,7.09,2.19,65.98,74.68,58.67,4.54,63.35
Roger Federer,85.04,81.41,87.8,85.35,7.69,1.42,64.03,78.39,61.19,3.79,67.8
